source,model,parameter,Conventions,load_function,plot_color,plot_linestyle,plot_marker,paths
CCMI-1,ETH-PMOD_SOCOL3-senC2CH4rcp85,tco3_zm,CF-1.4,ccmi,darkkhaki,solid,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/ETH-PMOD/SOCOL3/senC2CH4rcp85/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,ETH-PMOD_SOCOL3-senC2fCH4,tco3_zm,CF-1.4,ccmi,darkkhaki,solid,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/ETH-PMOD/SOCOL3/senC2fCH4/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,ETH-PMOD_SOCOL3-senC2fEmis,tco3_zm,CF-1.4,ccmi,darkkhaki,solid,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/ETH-PMOD/SOCOL3/senC2fEmis/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,ETH-PMOD_SOCOL3-senC2fN2O,tco3_zm,CF-1.4,ccmi,darkkhaki,solid,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/ETH-PMOD/SOCOL3/senC2fN2O/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,ETH-PMOD_SOCOL3-senC2rcp26,tco3_zm,CF-1.4,ccmi,darkkhaki,solid,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/ETH-PMOD/SOCOL3/senC2rcp26/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,ETH-PMOD_SOCOL3-senC2rcp45,tco3_zm,CF-1.4,ccmi,darkkhaki,solid,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/ETH-PMOD/SOCOL3/senC2rcp45/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,ETH-PMOD_SOCOL3-senC2rcp85,tco3_zm,CF-1.4,ccmi,darkkhaki,solid,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/ETH-PMOD/SOCOL3/senC2rcp85/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,GSFC_GEOSCCM-refC2,tco3_zm,CF-1.4,ccmi,olive,solid,*,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/GSFC/GEOSCCM/refC2/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,IPSL_IPSL-refC2,tco3_zm,CF-1.6,ccmi,darkblue,solid,*,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/IPSL/IPSL/refC2/mon/atmos/mon/r1i1p1/v1/toz/*.nc
CCMI-1,IPSL_IPSL-senC2fGHG,tco3_zm,CF-1.6,ccmi,darkblue,solid,*,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/IPSL/IPSL/senC2fGHG/mon/atmos/mon/r1i1p1/v1/toz/*.nc
CCMI-1,IPSL_IPSL-senC2fODS,tco3_zm,CF-1.6,ccmi,darkblue,solid,*,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/IPSL/IPSL/senC2fODS/mon/atmos/mon/r1i1p1/v1/toz/*.nc
CCMI-1,IPSL_IPSL-senC2fODS2000,tco3_zm,CF-1.6,ccmi,darkblue,solid,*,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/IPSL/IPSL/senC2fODS2000/mon/atmos/mon/r1i1p1/v1/toz/*.nc
CCMI-1,IPSL_IPSL-senC2rcp26,tco3_zm,CF-1.6,ccmi,darkblue,solid,*,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/IPSL/IPSL/senC2rcp26/mon/atmos/mon/r1i1p1/v1/toz/*.nc
CCMI-1,IPSL_IPSL-senC2rcp45,tco3_zm,CF-1.6,ccmi,darkblue,solid,*,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/IPSL/IPSL/senC2rcp45/mon/atmos/mon/r1i1p1/v1/toz/*.nc
CCMI-1,IPSL_IPSL-senC2rcp85,tco3_zm,CF-1.6,ccmi,darkblue,solid,*,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/IPSL/IPSL/senC2rcp85/mon/atmos/mon/r1i1p1/v1/toz/*.nc
CCMI-1,IPSL_IPSL-senC2rcp85,vmro3_zm,,ccmi,darkblue,solid,*,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/IPSL/IPSL/senC2rcp85/mon/atmos/mon/r1i1p1/v1/vmro3/*.nc
